2026-02-18 07:53:09,141 [main] INFO  marytts.main Mary starting up...
2026-02-18 07:53:09,142 [main] INFO  marytts.main Specification version 5.2
2026-02-18 07:53:09,142 [main] INFO  marytts.main Implementation version unknown
2026-02-18 07:53:09,142 [main] INFO  marytts.main Running on a Java 1.8.0_302 implementation by Temurin, on a Windows 10 platform (amd64, 10.0)
2026-02-18 07:53:09,255 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(tr.)'
2026-02-18 07:53:09,278 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(tr,tr.)'
2026-02-18 07:53:09,278 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.it.JTokeniser'
2026-02-18 07:53:09,279 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.it.Preprocess'
2026-02-18 07:53:09,280 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(it.)'
2026-02-18 07:53:09,291 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(it,it.pos)'
2026-02-18 07:53:09,291 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.it.Prosody'
2026-02-18 07:53:09,293 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.it.Postlex'
2026-02-18 07:53:09,293 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.fr.Phonemiser'
2026-02-18 07:53:09,300 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.fr.Preprocess'
2026-02-18 07:53:09,370 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(fr,fr.)'
2026-02-18 07:53:09,370 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(sv.)'
2026-02-18 07:53:09,370 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-sv.txt' for locale 'sv' does not exist. Ignoring.
2026-02-18 07:53:09,374 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(sv,sv.)'
2026-02-18 07:53:09,374 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.te.JTokeniser'
2026-02-18 07:53:09,374 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2026-02-18 07:53:09,374 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.te.JPhonemiser(te.)'
2026-02-18 07:53:09,374 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-te.txt' for locale 'te' does not exist. Ignoring.
2026-02-18 07:53:09,376 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2026-02-18 07:53:09,376 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(te,te)'
2026-02-18 07:53:09,376 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.JTokeniser'
2026-02-18 07:53:09,376 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Preprocess'
2026-02-18 07:53:09,409 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_US.)'
